Feature_Set,p,ARI_Train,NMI_Train,Purity_Train,Homogeneity_Train,Completeness_Train,VMeasure_Train,FMI_Train,ART_Classes_Train,ARI_Val,NMI_Val,Purity_Val,Homogeneity_Val,Completeness_Val,VMeasure_Val,FMI_Val,ART_Classes_Val,ARI_Test,NMI_Test,Purity_Test,Homogeneity_Test,Completeness_Test,VMeasure_Test,FMI_Test,ART_Classes_Test
Threshold,0.1,0.24497706290571228,0.386719737319941,0.473593570608496,0.336375077231924,0.45478688178347665,0.386719737319941,0.41293989816439935,4,0.2453596215500512,0.3862195406634187,0.45133149678604223,0.3361012103936488,0.4539042862930287,0.3862195406634186,0.4117894170253557,4,0.23057559200710467,0.3805119525588842,0.44656628718325375,0.32944274302750154,0.45031903655272276,0.3805119525588842,0.40032929297144765,4
Threshold,0.2,0.3445289176036819,0.42236792951682683,0.5373134328358209,0.37542696450007706,0.482724712560339,0.4223679295168269,0.5107397951919906,9,0.31218656594177674,0.4059464200029178,0.512396694214876,0.3611264129172847,0.4634682440490671,0.4059464200029178,0.48219331460111703,9,0.3059970396749026,0.39613593898897526,0.5078957032684539,0.351931765264369,0.4530397147538015,0.3961359389889753,0.4763625292886769,9
Threshold,0.3,0.28382925741810916,0.4475290660400932,0.4537313432835821,0.36941053454132106,0.5675471684147144,0.44752906604009324,0.48026237382838444,7,0.27580304511902787,0.4389166180437551,0.44995408631772266,0.3635499826042859,0.5537035030802095,0.4389166180437551,0.47203337487352065,7,0.28551880505494837,0.4484301260848752,0.4546456114579508,0.37082210214178624,0.5671207980191671,0.4484301260848752,0.47895290581515493,7
Threshold,0.4,0.32184234394153927,0.4293205385164149,0.49747416762342134,0.41073895157032414,0.44966302761343657,0.42932053851641483,0.480990418526243,17,0.30122752626323823,0.4247328744964232,0.494949494949495,0.41200006043543375,0.4382777990191844,0.4247328744964233,0.45913795130313917,17,0.3072368980129166,0.43082468942975116,0.48916636063165625,0.4170051998580959,0.4455915255325392,0.4308246894297512,0.4609116238965574,17
Threshold,0.5,0.32887969198385564,0.46197838578397854,0.6152698048220436,0.5096432104283446,0.42246680984732854,0.46197838578397854,0.4409496766406583,26,0.2936506371040709,0.4481931586811546,0.6014692378328742,0.4985946182586894,0.4070460716942513,0.44819315868115456,0.40732855296106746,26,0.31710396887463216,0.47055364977320574,0.6114579507895703,0.5198122200074317,0.4298226890495287,0.47055364977320574,0.42767595330019187,26
Threshold,0.6,0.26011483363920324,0.4261990083002999,0.5545350172215844,0.47391179751071394,0.38721475801305016,0.4261990083002999,0.3862205978636945,49,0.25738334014969577,0.4310494735585561,0.573921028466483,0.48405897442175333,0.3885042144487942,0.4310494735585561,0.3788523274837781,49,0.26153560639600115,0.43179896188289524,0.5460888725670217,0.47919834096412484,0.3929324763246099,0.43179896188289524,0.3854218344325053,49
Threshold,0.7,0.266168860621866,0.4227578189098079,0.5786452353616532,0.5213717234423186,0.3555146485632256,0.42275781890980796,0.3894817483392772,84,0.24138238029424994,0.42094723196347583,0.5794306703397613,0.5268632734531744,0.3504881265016571,0.42094723196347583,0.3615302360214047,84,0.2605178092872102,0.43045911552713584,0.5809768637532133,0.5364082179642831,0.35946006954835386,0.4304591155271358,0.378827854163697,84
Threshold,0.8,0.2960047704734512,0.44710479867104447,0.6762342135476463,0.5801275213962763,0.363707088086225,0.4471047986710445,0.40238462734828334,109,0.2533662747029032,0.4388261850788354,0.662534435261708,0.5758944678741964,0.3544611161072685,0.43882618507883536,0.36118719126974763,109,0.2725725422395442,0.4453961946496285,0.6569959603378627,0.5795877626078313,0.36166105248005403,0.44539619464962854,0.3783209465702485,109
Threshold,0.9,0.21747388259263628,0.43472378874703055,0.7398392652123995,0.654365206668596,0.32547593332098407,0.43472378874703055,0.32834036526139937,267,0.1883752834499336,0.43522228037968064,0.7300275482093664,0.6546976390583747,0.32595264343303587,0.4352222803796806,0.29813785287490596,267,0.2102659178309499,0.44107750747161806,0.7242012486228424,0.6558548557661348,0.33226754500380484,0.44107750747161806,0.31838564485757326,267
Quartiles,0.1,0.3051198522004074,0.37044004511532214,0.4754305396096441,0.30438346335451116,0.4731141663223258,0.3704400451153221,0.4916761525713509,4,0.2764404693028534,0.36273309811043014,0.4637281910009183,0.29857721155696293,0.4620050542399054,0.3627330981104302,0.4658741303440621,4,0.2732407010232304,0.361917937488916,0.455012853470437,0.29693984959629777,0.46329988673497946,0.36191793748891604,0.4633183624791367,4
